1;1;678415,15;121,02;1584,44;211851,95
2;1;828447,06;228,76;1586,04;171471,48
3;1;847902,84;238,63;1598,85;200704,22
4;1;844103,21;212,35;1614,5;223576,7
5;1;806962,9;244,34;1580,19;204834,63
6;1;737811,86;236,59;1583;201982,69
7;1;859804,79;246,61;1577,98;221189,61
1;1;892253,02;247,65;1573,84;223637,5
2;1;880537,9;219,78;1569,04;220849,18
3;1;875131,17;163,31;1600,37;267613,51
4;1;860485,02;180,21;1591,16;249776,41
5;1;816173,56;236,7;1567,44;204274,12
6;1;735698,1;174,56;1587,77;186150,8
7;1;847880,96;262,17;1555,96;181575,39
1;1;879878,2221;229,12;1574,38;251899,6
2;1;873178,63;253,05;1575,46;221903,45
3;1;863061,12;247,62;1557,78;206590,42
4;1;850253,14;236,7;1567,85;216142,76
5;1;803261,39;184,42;1561,13;204323,7
6;1;707275,3;181,69;1532,87;195358,77
7;1;834527,77;251,45;1518,42;196653,31
1;1;846972,6;264,39;1539,32;173439,67
2;1;834011,78;231,79;1518,15;250423,06
3;1;834874,63;237,21;1511,86;244485,98
4;1;821515,66;246,85;1490,04;236967,53
5;1;774424,86;224,53;1498,82;236761,72
6;1;700305,03;210,94;1482,33;191310,1
7;1;795037,21;251,19;1482,65;200514,54
1;1;803406,97;234,34;1470,33;243996,65
2;1;819632,13;207,77;1474,86;264075,29
3;1;824514,55;208,6;1472,69;275788,48
4;1;817487,04;223,53;1471,74;222688,03
5;1;762466,87;251,37;1459,82;200508,68
6;1;678637,93;187,29;1464,44;197791,3
7;1;780551,83;252,61;1442,33;177965,22
1;1;798087,77;257,15;1463,37;213302,48
2;1;836350,98;270,16;1449,84;243159,03
3;1;857044,87;253,6;1450,94;270610,01
4;1;857139,66;262,41;1461,91;232214,68
5;1;813392,35;280,08;1462,73;202365,72
6;1;723120,71;251,67;1461,57;181055
7;1;805065,67;266,37;1449,41;220868,39
1;1;817984,35;230;1449,8;261005,38
2;1;847102,14;264,08;1444,26;256355,02
3;1;862453,81;264,99;1460,31;272110,19
4;1;862945,3;262,55;1468,79;258482,8
5;1;806361,27;255,35;1465,69;239288,99
6;1;701973,65;227,83;1467,73;192180,64
7;1;805758,05;279,67;1450,44;160786,15
1;1;813988,04;282,7;1452,53;156655,87
2;1;816576,53;280,41;1457,76;151854,56
3;1;819898,01;273,82;1467,52;158633,68
4;1;821742,15;285,18;1467,29;145716,93
5;1;807976,28;257,27;1473,81;214350,02
6;1;721977,02;178,73;1454,12;239273,58
7;1;830245,81;268,56;1462,99;216410,59
1;1;850106,04;276,94;1458,37;203462,42
2;1;857408,23;276,5;1464,89;241428,95
3;1;856513,66;276,56;1464,65;196324,27
4;2;814664,41;282,37;1484,07;192494,24
5;2;778160,31;279,53;1484,06;175957,38
6;2;706250,98;246,14;1476,85;196865,81
7;2;811921,73;281,73;1474,08;162020,51
1;2;807747,29;300,98;1500,72;166324,63
2;2;808466,43;275,38;1504,36;195096,5
3;2;797396,61;289,81;1490,04;166150,99
4;2;769945,41;278,87;1518,19;172332,97
5;2;730046,91;267,57;1487,65;191251,55
6;2;651553,15;245,5;1490,28;196885,94
7;2;740900,63;251,77;1481,55;236798,48
1;2;791550,56;260,86;1484,09;272696,26
2;2;809599,24;262,27;1506,41;268450,06
3;2;815436,85;279,38;1509,89;228447,01
4;2;826733,83;277,19;1521,34;227658,48
5;2;778122,33;250,71;1494,91;229328,23
6;2;673862,13;185,72;1486,52;243972,55
7;2;749898,91;260,46;1481,97;228499,78
1;2;759309,6;295,84;1482,76;191003,69
2;2;769567,62;301,02;1497,4;207500,97
3;2;774522,13;251,99;1496,71;273370,79
4;2;767047,93;248,33;1498,12;252193,63
5;2;735716,27;248,55;1536,17;254246,52
6;2;681938,52;117,67;1521,23;293614,53
7;2;777794,69;255,06;1535,87;249069,4
1;2;786238,85;299,03;1535,29;196083,42
2;2;793213,24;293,95;1516,15;220975,02
3;2;801886,64;264,76;1482,17;261924,88
4;2;829521,38;193,04;1520,99;303399,77
5;2;781999,84;248,99;1518,6;293463,03
6;2;672904,68;142,84;1484,56;284942,73
7;2;787258,78;259,79;1502,26;254297,6
1;2;799758,04;271,58;1505,15;260032,18
2;2;800719,81;282,17;1484,16;223212,6
3;2;797287,04;277,23;1508,32;210311,13
4;2;784322,8;278,84;1490,47;196461,1
5;2;753266,99;251,16;1463,59;224761,42
6;2;672119,94;123;1430,64;236168,98
7;2;751312,86;230,5;1477,57;236769,17
1;2;776771,07;212,62;1500,77;286866,03
2;2;788558,75;188,33;1436,14;276840,63
3;2;784047,88;137,04;1463,32;313998,31
4;2;761230,7;193,8;1466,51;293499,83
5;2;721244,46;136,69;1483,07;269319,94
6;2;641148,15;62,74;1448,51;275352,3
7;2;751085,28;225,54;1472,32;284958,73
1;2;796949,04;184,23;1472,3;325188,44
2;2;798828,97;178,25;1496,84;307096,73
3;2;797276,12;145,95;1484,63;314555,19
4;2;802421,14;124,85;1446,01;335527,73
5;2;778741,39;142,28;1476,68;332761,36
6;2;695621,04;70,53;1469,91;309023,79
7;2;761517,95;193,84;1477,49;296885,9
1;2;705888,87;153,47;1461,71;261203,07
2;2;762963,33;234,51;1445,25;251986,37
3;2;761914,06;246,03;1450,35;239792,62
4;2;758551,26;268,74;1460,47;235057,02
5;2;721383,02;222,07;1472,5;236853,22
6;2;633878,32;75,11;1490,05;265893,96
7;2;728672,39;150,81;1479,38;280902,16
1;2;736361,43;92,85;1494,86;324212,2
2;2;660388,72;121,32;1488,24;315353,15
3;2;736810,18;214,85;1480;277488,6
